,Facility Name,CMS Certification Number (CCN),City,state,State Abbr,Zip Code,Lat,Long,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score,PY2019 Payment Reduction Percentage,CMS Certification Date,FacilityAge
1351,BEAUMONT HOSPITAL - STERLING HGTS,232335,STERLING HEIGHTS,Michigan,MI,48314,42.58,-83.03,7,5,6,5,7,5,5,8,9,8,10,9,5,6,7,7,8,5,10,9,10,10,3,5,7,5,10,10,10,10,69,No Reduction,3/10/1980,14175 days 00:00:00.000000000
1352,FMC - KALAMAZOO,232561,KALAMAZOO,Michigan,MI,49007,42.27,-85.58,6,5,2,5,4,5,9,8,8,8,10,9,8,6,9,7,2,5,8,9,10,10,5,5,4,5,10,10,10,10,60,No Reduction,8/1/1998,7457 days 00:00:00.000000000
1353,FMC - BATTLE CREEK SOUTH,232547,BATTLE CREEK,Michigan,MI,49015,42.29,-85.22,9,5,9,5,9,5,9,8,9,8,10,9,10,6,10,7,4,5,9,9,8,10,5,5,10,5,10,10,10,10,78,No Reduction,3/14/1996,8327 days 00:00:00.000000000
1354,DAVITA - BURTON DIALYSIS,232663,BURTON,Michigan,MI,48509,42.99,-83.61,6,5,2,5,4,5,8,8,9,8,10,9,2,6,5,7,8,5,9,9,10,10,2,5,6,5,10,10,10,10,63,No Reduction,10/13/2010,3001 days 00:00:00.000000000
1355,FRESENIUS MEDICAL CARE - HASTINGS,232683,HASTINGS,Michigan,MI,49058,42.65,-85.28,2,5,7,5,4,5,10,8,9,8,10,9,8,6,9,7,5,5,10,9,10,10,5,5,4,5,10,10,10,10,68,No Reduction,9/12/2012,2301 days 00:00:00.000000000
1356,BAY AREA REGL DIALYSIS CTR - SAGINAW RIVERSIDE,232598,SAGINAW,Michigan,MI,48602,43.41,-83.94,3,5,0,5,2,5,9,8,9,8,10,9,2,6,5,7,5,5,10,9,10,10,2,5,6,5,10,10,10,10,56,0.50%,6/26/2002,6032 days 00:00:00.000000000
1357,TOWN CENTER DIALYSIS - DAVITA,232680,SAGINAW,Michigan,MI,48602,43.41,-83.94,4,5,0,5,2,5,7,8,6,8,10,9,0,6,4,7,9,5,9,9,10,10,3,5,3,5,10,10,10,10,56,0.50%,3/12/2012,2485 days 00:00:00.000000000
1358,FRESENIUS MEDICAL CARE - LANSING WEST,232679,LANSING,Michigan,MI,48917,42.7,-84.55,9,5,10,5,9,5,10,8,10,8,10,9,7,6,8,7,7,5,10,9,10,10,7,5,10,5,10,10,10,10,86,No Reduction,3/5/2012,2492 days 00:00:00.000000000
1359,GREENFIELD HS - NORTHWEST DETROIT,232544,DETROIT,Michigan,MI,48235,42.38,-83.1,1,5,0,5,1,5,5,8,9,8,10,9,6,6,8,7,3,5,10,9,10,10,3,5,3,5,10,10,10,10,48,1.00%,7/20/1995,8565 days 00:00:00.000000000
1360,DAVITA - SCHAEFER DR,232583,DETROIT,Michigan,MI,48235,42.38,-83.1,7,5,6,5,7,5,10,8,8,8,10,9,1,6,5,7,3,5,10,9,10,10,0,5,3,5,10,10,10,10,55,0.50%,11/1/1999,7000 days 00:00:00.000000000
1361,FENTON DIALYSIS OF DAVITA,232635,FENTON,Michigan,MI,48430,42.8,-83.71,10,5,5,5,8,5,10,8,10,8,10,9,5,6,7,7,8,5,9,9,10,10,3,5,8,5,10,10,10,10,78,No Reduction,5/18/2007,4245 days 00:00:00.000000000
1362,DAVITA - ALPENA DIALYSIS,232553,ALPENA,Michigan,MI,49707,45.07,-83.43,9,5,9,5,9,5,8,8,9,8,10,9,5,6,7,7,7,5,10,9,10,10,10,5,0,5,10,10,10,10,76,No Reduction,5/30/1997,7885 days 00:00:00.000000000
1363,DAVITA - GLADWIN DIALYSIS,232649,GLADWIN,Michigan,MI,48624,43.98,-84.49,6,5,8,5,7,5,7,8,9,8,10,9,7,6,8,7,7,5,9,9,10,10,10,5,7,5,10,10,10,10,79,No Reduction,7/11/2008,3825 days 00:00:00.000000000
1364,BEAUMONT HOSPITAL - HAZEL PARK,233522,HAZEL PARK,Michigan,MI,48030,42.46,-83.09,3,5,1,5,2,5,8,8,10,8,10,9,2,6,5,7,4,5,10,9,10,10,3,5,6,5,10,10,10,10,55,0.50%,5/23/2001,6431 days 00:00:00.000000000
1365,LANSING DIALYSIS OF FMC,232634,LANSING,Michigan,MI,48910,42.7,-84.55,2,5,4,5,3,5,10,8,9,8,10,9,8,6,9,7,4,5,10,9,10,10,5,5,4,5,10,10,10,10,65,No Reduction,1/25/2007,4358 days 00:00:00.000000000
1366,FMC - BIG RAPIDS,232611,BIG RAPIDS,Michigan,MI,49307,43.7,-85.48,6,5,10,5,8,5,10,8,9,8,10,9,10,6,10,7,3,5,10,9,10,10,4,5,10,5,10,10,10,10,76,No Reduction,8/5/2003,5627 days 00:00:00.000000000
1367,FMC - OSHTEMO,232560,KALAMAZOO,Michigan,MI,49009,42.27,-85.58,8,5,4,5,6,5,10,8,10,8,10,9,9,6,9,7,5,5,10,9,10,10,7,5,9,5,10,10,10,10,79,No Reduction,8/1/1998,7457 days 00:00:00.000000000
1368,DAVITA - DOWNRIVER KIDNEY CTR,232592,ALLEN PARK,Michigan,MI,48101,42.25,-83.21,4,5,2,5,3,5,7,8,6,8,10,9,4,6,6,7,5,5,8,9,10,10,4,5,2,5,10,10,10,10,53,0.50%,2/26/2001,6517 days 00:00:00.000000000
1369,GREENFIELD HS - EASTPOINTE,232567,EASTPOINTE,Michigan,MI,48021,42.46,-82.94,2,5,1,5,2,5,8,8,9,8,10,9,7,6,8,7,5,5,9,9,10,10,4,5,5,5,10,10,10,10,61,No Reduction,5/26/1998,7524 days 00:00:00.000000000
1370,GREENFIELD HS - DETROIT WEST PAVILION,232505,DETROIT,Michigan,MI,48202,42.38,-83.1,0,5,0,5,0,5,9,8,9,8,10,9,8,6,9,7,4,5,10,9,10,10,3,5,5,5,10,10,10,10,58,0.50%,9/1/1977,15096 days 00:00:00.000000000
1371,NEW CENTER DIALYSIS OF DAVITA,232529,DETROIT,Michigan,MI,48202,42.38,-83.1,3,5,1,5,2,5,7,8,10,8,10,9,3,6,6,7,3,5,10,9,10,10,0,5,5,5,10,10,10,10,48,1.00%,5/13/1993,9363 days 00:00:00.000000000
1372,DAVITA - REDFORD,232543,DETROIT,Michigan,MI,48219,42.38,-83.1,8,5,0,5,4,5,7,8,10,8,10,9,3,6,6,7,4,5,9,9,10,10,0,5,2,5,10,10,10,10,50,0.50%,8/2/1995,8552 days 00:00:00.000000000
1373,DAVITA - ALMA DIALYSIS,232676,ALMA,Michigan,MI,48801,43.37,-84.65,8,5,8,5,8,5,10,8,8,8,10,9,1,6,5,7,9,5,9,9,10,10,3,5,0,5,10,10,10,10,69,No Reduction,9/1/1977,15096 days 00:00:00.000000000
1374,DAVITA - GRAND RAPIDS,232565,GRAND RAPIDS,Michigan,MI,49506,42.96,-85.65,7,5,9,5,8,5,8,8,8,8,10,9,5,6,7,7,5,5,10,9,10,10,3,5,3,5,10,10,10,10,64,No Reduction,10/1/1998,7396 days 00:00:00.000000000
1375,ROCHESTER HILLS DIALYSIS OF DAVITA,232628,ROCHESTER HILLS,Michigan,MI,48309,42.68,-83.12,7,5,7,5,7,5,8,8,9,8,10,9,0,6,4,7,9,5,7,9,10,10,7,5,2,5,10,10,10,10,70,No Reduction,5/19/2006,4609 days 00:00:00.000000000
1376,FRESENIUS MEDICAL CARE - JACKSON OAKS,232662,JACKSON,Michigan,MI,49202,42.24,-84.4,6,5,9,5,7,5,10,8,7,8,10,9,8,6,9,7,3,5,8,9,10,10,4,5,6,5,10,10,10,10,68,No Reduction,9/27/2010,3017 days 00:00:00.000000000
1377,FRESENIUS MEDICAL CARE AT BENTON HARBOR,232688,BENTON HARBOR,Michigan,MI,49022,42.11,-86.44,6,5,6,5,6,5,9,8,10,8,10,9,10,6,10,7,4,5,9,9,10,10,5,5,1,5,10,10,10,10,67,No Reduction,7/18/2013,1992 days 00:00:00.000000000
1378,NORTHWEST DETROIT DIALYSIS CENTER LLC,232670,SOUTHFIELD,Michigan,MI,48075,42.47,-83.25,6,5,1,5,4,5,2,8,9,8,10,9,7,6,8,7,4,5,10,9,10,10,4,5,6,5,10,10,10,10,54,0.50%,5/2/2011,2800 days 00:00:00.000000000
1379,SOUTHFIELD WEST DIALYSIS OF DAVITA,232604,SOUTHFIELD,Michigan,MI,48075,42.47,-83.25,4,5,5,5,4,5,10,8,10,8,10,9,4,6,6,7,3,5,10,9,10,10,4,5,6,5,10,10,10,10,61,No Reduction,2/25/2003,5788 days 00:00:00.000000000
1380,DAVITA - GREENVIEW,232600,SOUTHFIELD,Michigan,MI,48075,42.47,-83.25,7,5,4,5,6,5,7,8,5,8,10,9,4,6,6,7,1,5,9,9,10,10,2,5,7,5,10,10,10,10,51,0.50%,9/26/2002,5940 days 00:00:00.000000000
1381,CORNERSTONE DIALYSIS OF DAVITA,232512,SOUTHFIELD,Michigan,MI,48075,42.47,-83.25,6,5,3,5,5,5,7,8,9,8,10,9,4,6,6,7,7,5,10,9,10,10,4,5,2,5,10,10,10,10,62,No Reduction,12/21/1988,10967 days 00:00:00.000000000
1382,BRIGHTON DIALYSIS OF DAVITA,232551,BRIGHTON,Michigan,MI,48114,42.53,-83.78,6,5,6,5,6,5,9,8,6,8,10,9,5,6,7,7,4,5,6,9,10,10,5,5,0,5,10,10,10,10,58,0.50%,5/14/1997,7901 days 00:00:00.000000000
1383,US RENAL CARE WATERVLIET DIALYSIS,232671,WATERVLIET,Michigan,MI,49098,42.18,-86.25,5,5,9,5,7,5,10,8,9,8,10,9,8,6,9,7,8,5,10,9,10,10,3,5,10,5,10,10,10,10,81,No Reduction,6/6/2011,2765 days 00:00:00.000000000
1384,FMC DIALYSIS - EAST DETROIT,232503,DETROIT,Michigan,MI,48236,42.38,-82.91,8,5,1,5,5,5,10,8,10,8,10,9,10,6,10,7,7,5,10,9,10,10,3,5,10,5,10,10,10,10,79,No Reduction,4/16/1979,14504 days 00:00:00.000000000
1385,FMC HASTINGS AVE - HOLLAND,232640,HOLLAND,Michigan,MI,49423,42.77,-86.1,2,5,5,5,3,5,10,8,8,8,10,9,9,6,9,7,6,5,9,9,10,10,6,5,4,5,10,10,10,10,69,No Reduction,12/6/2007,4043 days 00:00:00.000000000
1386,FMC DIALYSIS - MADISON HEIGHTS,232525,MADISON HEIGHTS,Michigan,MI,48071,42.5,-83.1,7,5,0,5,4,5,7,8,8,8,10,9,8,6,9,7,4,5,10,9,10,10,2,5,1,5,10,10,10,10,55,0.50%,4/8/1992,9763 days 00:00:00.000000000
1387,DAVITA - GARDEN WEST,232550,WESTLAND,Michigan,MI,48185,42.31,-83.38,5,5,4,5,5,5,8,8,10,8,10,9,3,6,6,7,6,5,9,9,10,10,1,5,5,5,10,10,10,10,61,No Reduction,12/9/1996,8057 days 00:00:00.000000000
1388,TOTAL RENAL CARE INC.,232714,GRAND RAPIDS,Michigan,MI,49548,42.96,-85.65,0,5,0,5,0,5,7,8,3,8,10,9,5,6,7,7,0,5,7,9,9,10,8,5,8,5,10,10,10,10,48,1.00%,9/28/2016,824 days 00:00:00.000000000
1389,DAVITA - HIGHLAND PARK,232570,HIGHLAND PARK,Michigan,MI,48203,42.4,-83.09,4,5,4,5,4,5,5,8,9,8,10,9,0,6,4,7,1,5,10,9,10,10,7,5,4,5,10,10,10,10,48,1.00%,1/19/1999,7286 days 00:00:00.000000000
1390,STATE FAIR DIALYSIS - DAVITA,232578,DETROIT,Michigan,MI,48203,42.4,-83.09,8,5,0,5,4,5,7,8,4,8,10,9,4,6,6,7,0,5,9,9,10,10,0,5,0,5,10,10,10,10,37,1.50%,9/16/1999,7046 days 00:00:00.000000000
1391,FMC DIALYSIS - NORTHWEST DETROIT,232526,DETROIT,Michigan,MI,48223,42.38,-83.1,4,5,0,5,2,5,9,8,9,8,10,9,6,6,8,7,5,5,10,9,10,10,0,5,10,5,10,10,10,10,62,No Reduction,7/17/1992,9663 days 00:00:00.000000000
1392,FMC - CHESTERFIELD,232630,CHESTERFIELD,Michigan,MI,48051,42.68,-82.73,5,5,2,5,4,5,10,8,10,8,10,9,6,6,8,7,8,5,10,9,10,10,5,5,10,5,10,10,10,10,79,No Reduction,9/14/2006,4491 days 00:00:00.000000000
1393,LIBERTY DIALYSIS AT LAKELAND - NILES,232668,NILES,Michigan,MI,49120,41.83,-86.24,8,5,9,5,8,5,10,8,10,8,10,9,10,6,10,7,6,5,9,9,10,10,6,5,4,5,10,10,10,10,79,No Reduction,10/7/2005,4833 days 00:00:00.000000000
1394,FMC - KENTWOOD,232703,GRAND RAPIDS,Michigan,MI,49508,42.96,-85.65,1,5,5,5,3,5,10,8,10,8,10,9,7,6,8,7,7,5,10,9,9,10,0,5,9,5,10,10,10,10,68,No Reduction,1/13/2015,1448 days 00:00:00.000000000
1395,BEAUMONT DIALYSIS SERVICES - BERKLEY,232321,BERKLEY,Michigan,MI,48072,42.49,-83.18,4,5,1,5,3,5,4,8,2,8,10,9,2,6,5,7,3,5,8,9,10,10,1,5,4,5,10,10,10,10,39,1.50%,9/1/1977,15096 days 00:00:00.000000000
1396,GROSSE POINTE DIALYSIS OF DAVITA,232643,DETROIT,Michigan,MI,48224,42.38,-83.1,7,5,0,5,4,5,9,8,8,8,10,9,6,6,8,7,2,5,9,9,10,10,1,5,3,5,10,10,10,10,53,0.50%,2/7/2008,3980 days 00:00:00.000000000
1397,FMC - EAST LANSING,232548,EAST LANSING,Michigan,MI,48823,42.73,-84.48,4,5,3,5,4,5,10,8,9,8,10,9,6,6,8,7,6,5,10,9,10,10,3,5,8,5,10,10,10,10,70,No Reduction,3/22/1996,8319 days 00:00:00.000000000
1398,DAVITA - MUSKEGON,232562,MUSKEGON HEIGHTS,Michigan,MI,49444,43.22,-86.25,4,5,4,5,4,5,10,8,8,8,10,9,0,6,4,7,8,5,10,9,10,10,8,5,8,5,10,10,10,10,73,No Reduction,10/1/1998,7396 days 00:00:00.000000000
1399,FMC - KALAMAZOO EAST,232633,KALAMAZOO,Michigan,MI,49001,42.27,-85.58,10,5,5,5,8,5,9,8,9,8,10,9,10,6,10,7,2,5,10,9,10,10,9,5,6,5,10,10,10,10,75,No Reduction,12/6/2006,4408 days 00:00:00.000000000
1400,FMC - THREE RIVERS,232606,THREE RIVERS,Michigan,MI,49093,41.94,-85.63,4,5,3,5,4,5,10,8,9,8,10,9,10,6,10,7,7,5,10,9,10,10,3,5,5,5,10,10,10,10,72,No Reduction,4/22/2003,5732 days 00:00:00.000000000
1401,GREAT LAKES DIALYSIS LLC,232614,DETROIT,Michigan,MI,48215,42.38,-83.1,5,5,3,5,4,5,4,8,9,8,10,9,6,6,8,7,6,5,10,9,10,10,2,5,4,5,10,10,10,10,57,0.50%,12/17/2003,5493 days 00:00:00.000000000
1402,RIVERVIEW DIALYSIS OF DAVITA,232686,RIVERVIEW,Michigan,MI,48193,42.16,-83.21,2,5,7,5,4,5,9,8,9,8,10,9,1,6,5,7,7,5,10,9,10,10,2,5,4,5,10,10,10,10,61,No Reduction,1/24/2013,2167 days 00:00:00.000000000
1403,DAVITA - NEWAYGO COUNTY,232607,FREMONT,Michigan,MI,49412,43.46,-85.95,8,5,8,5,8,5,10,8,7,8,10,9,3,6,6,7,6,5,9,9,10,10,10,5,8,5,10,10,10,10,80,No Reduction,5/21/2003,5703 days 00:00:00.000000000
1404,DAVITA - BAY CITY DIALYSIS,232531,BAY CITY,Michigan,MI,48706,43.59,-83.88,7,5,7,5,7,5,10,8,8,8,10,9,4,6,6,7,8,5,8,9,10,10,5,5,0,5,10,10,10,10,69,No Reduction,10/13/1993,9210 days 00:00:00.000000000
1405,DAVITA - SOUTHGATE,232535,SOUTHGATE,Michigan,MI,48195,42.2,-83.2,7,5,5,5,6,5,6,8,9,8,10,9,6,6,8,7,7,5,9,9,10,10,1,5,0,5,10,10,10,10,59,0.50%,2/4/1994,9096 days 00:00:00.000000000
1406,RRC - LAPEER,232629,LAPEER,Michigan,MI,48446,43.04,-83.32,1,5,3,5,2,5,9,8,9,8,10,9,10,6,10,7,8,5,10,9,9,10,5,5,1,5,10,10,10,10,68,No Reduction,6/7/2006,4590 days 00:00:00.000000000
1407,MACOMB KIDNEY CENTER OF DAVITA,232540,WARREN,Michigan,MI,48088,42.49,-83.02,5,5,2,5,4,5,8,8,10,8,10,9,0,6,4,7,2,5,8,9,10,10,2,5,0,5,10,10,10,10,45,1.00%,10/3/1994,8855 days 00:00:00.000000000
1408,FLINT DIALYSIS OF DAVITA,232608,FLINT,Michigan,MI,48503,43.02,-83.69,7,5,4,5,6,5,8,8,5,8,10,9,5,6,7,7,8,5,7,9,10,10,0,5,0,5,10,10,10,10,58,0.50%,9/1/1977,15096 days 00:00:00.000000000
1409,DAVITA - BALLENGER POINTE,232624,FLINT,Michigan,MI,48503,43.02,-83.69,7,5,6,5,7,5,8,8,10,8,10,9,1,6,5,7,8,5,10,9,10,10,2,5,2,5,10,10,10,10,65,No Reduction,5/23/2005,4970 days 00:00:00.000000000
1410,DAVITA - MT PLEASANT DIALYSIS,232675,MOUNT PLEASANT,Michigan,MI,48858,43.59,-84.77,8,5,4,5,6,5,10,8,10,8,10,9,1,6,5,7,10,5,9,9,10,10,7,5,7,5,10,10,10,10,80,No Reduction,7/3/2002,6025 days 00:00:00.000000000
1411,DAVITA - LUDINGTON,232572,LUDINGTON,Michigan,MI,49431,43.95,-86.44,2,5,3,5,3,5,10,8,9,8,10,9,4,6,6,7,6,5,10,9,10,10,10,5,7,5,10,10,10,10,73,No Reduction,12/1/1998,7335 days 00:00:00.000000000
1412,FMC ROCKFORD PARK - ROCKFORD,232599,ROCKFORD,Michigan,MI,49341,43.12,-85.55,4,5,7,5,5,5,10,8,9,8,10,9,8,6,9,7,2,5,10,9,10,10,10,5,6,5,10,10,10,10,72,No Reduction,8/21/2002,5976 days 00:00:00.000000000
1413,NOVI DIALYSIS CENTER OF DAVITA,232549,NOVI,Michigan,MI,48374,42.47,-83.49,7,5,7,5,7,5,9,8,7,8,10,9,2,6,5,7,7,5,9,9,10,10,3,5,6,5,10,10,10,10,67,No Reduction,4/3/1996,8307 days 00:00:00.000000000
1414,DAVITA - WALKER DIALYSIS,232690,GRAND RAPIDS,Michigan,MI,49544,42.96,-85.65,1,5,7,5,4,5,9,8,10,8,10,9,4,6,6,7,1,5,4,9,10,10,2,5,8,5,10,10,10,10,54,0.50%,12/18/2013,1839 days 00:00:00.000000000
1415,FMC DIALYSIS - PORT HURON,232509,PORT HURON,Michigan,MI,48060,42.97,-82.42,4,5,0,5,2,5,10,8,9,8,10,9,6,6,8,7,1,5,10,9,10,10,3,5,5,5,10,10,10,10,55,0.50%,11/26/1985,12088 days 00:00:00.000000000
1416,WINONA HEALTH SERVICES,242305,WINONA,Minnesota,MN,55987,44.04,-91.65,4,5,7,5,5,5,10,8,10,8,10,9,0,6,4,7,8,5,10,9,10,10,10,5,9,5,10,10,10,10,79,No Reduction,9/1/1977,15096 days 00:00:00.000000000
1417,FMC - COON RAPIDS,242572,COON RAPIDS,Minnesota,MN,55448,44.96,-93.26,1,5,7,5,4,5,10,8,10,8,10,9,8,6,9,7,10,5,10,9,10,10,10,5,10,5,10,10,10,10,90,No Reduction,7/9/2008,3827 days 00:00:00.000000000
1418,ST CLOUD HOSPITAL,243528,SAINT CLOUD,Minnesota,MN,56303,45.55,-94.17,2,5,7,5,4,5,7,8,7,8,10,9,0,6,4,7,8,5,7,9,10,10,4,5,7,5,10,10,10,10,62,No Reduction,3/1/2002,6149 days 00:00:00.000000000
1419,MAYO DIALYSIS - ALBERT LEA,243535,ALBERT LEA,Minnesota,MN,56007,43.65,-93.36,0,5,5,5,2,5,6,8,3,8,10,9,3,6,6,7,7,5,8,9,10,10,10,5,6,5,10,10,10,10,63,No Reduction,11/22/2005,4787 days 00:00:00.000000000
1420,ST PAUL DIALYSIS OF DAVITA,242513,SAINT PAUL,Minnesota,MN,55103,44.94,-93.1,6,5,1,5,4,5,8,8,9,8,10,9,4,6,6,7,4,5,10,9,10,10,6,5,7,5,10,10,10,10,63,No Reduction,6/30/1982,13333 days 00:00:00.000000000
1421,BURNSVILLE DIALYSIS OF DAVITA,242515,BURNSVILLE,Minnesota,MN,55337,44.76,-93.27,6,5,6,5,6,5,8,8,9,8,10,9,0,6,4,7,7,5,10,9,10,10,0,5,0,5,10,10,10,10,55,0.50%,11/24/1987,11360 days 00:00:00.000000000
1422,WOODBURY DIALYSIS OF DAVITA,242536,WOODBURY,Minnesota,MN,55125,44.94,-93.1,4,5,6,5,5,5,10,8,9,8,10,9,6,6,8,7,8,5,9,9,10,10,10,5,3,5,10,10,10,10,79,No Reduction,4/1/1997,7944 days 00:00:00.000000000
1423,MINNEAPOLIS DIALYSIS OF DAVITA,242503,MINNEAPOLIS,Minnesota,MN,55404,44.96,-93.26,8,5,4,5,6,5,8,8,9,8,10,9,5,6,7,7,7,5,10,9,10,10,2,5,4,5,10,10,10,10,66,No Reduction,9/1/1977,15096 days 00:00:00.000000000
1424,WEST ST PAUL DIALYSIS OF DAVITA,242505,WEST ST PAUL,Minnesota,MN,55118,44.94,-93.1,10,5,6,5,8,5,10,8,8,8,10,9,5,6,7,7,5,5,10,9,10,10,10,5,7,5,10,10,10,10,79,No Reduction,1/17/1992,9845 days 00:00:00.000000000
1425,FMS DIALYSIS - SHAKOPEE,242542,SHAKOPEE,Minnesota,MN,55379,44.77,-93.47,10,5,9,5,10,5,10,8,7,8,10,9,2,6,5,7,6,5,9,9,10,10,0,5,10,5,10,10,10,10,71,No Reduction,5/22/1998,7528 days 00:00:00.000000000
1426,RIVERSIDE DIALYSIS OF DAVITA,242539,SAINT PAUL,Minnesota,MN,55114,44.94,-93.1,6,5,4,5,5,5,9,8,8,8,10,9,7,6,8,7,4,5,8,9,10,10,4,5,9,5,10,10,10,10,67,No Reduction,8/1/1997,7822 days 00:00:00.000000000
1427,MAYO DIALYSIS ROCHESTER - NORTHEAST,243532,ROCHESTER,Minnesota,MN,55906,44.01,-92.47,1,5,3,5,2,5,7,8,10,8,10,9,5,6,7,7,6,5,10,9,10,10,10,5,10,5,0,10,10,10,70,No Reduction,6/8/2004,5319 days 00:00:00.000000000
1428,BLOOMINGTON DIALYSIS OF DAVITA,242547,BLOOMINGTON,Minnesota,MN,55420,44.96,-93.26,7,5,8,5,7,5,10,8,9,8,10,9,6,6,8,7,5,5,6,9,10,10,10,5,10,5,10,10,10,10,82,No Reduction,2/14/2000,6895 days 00:00:00.000000000
1429,EAST VALLEY DIALYSIS OF DAVITA,242589,APPLE VALLEY,Minnesota,MN,55124,44.94,-93.1,9,5,10,5,9,5,7,8,7,8,10,9,10,6,10,7,8,5,10,9,10,10,7,5,0,5,10,10,10,10,76,No Reduction,12/5/2013,1852 days 00:00:00.000000000
1430,ROBBINSDALE DIALYSIS OF DAVITA,242582,ROBBINSDALE,Minnesota,MN,55422,44.96,-93.26,5,5,3,5,4,5,3,8,6,8,10,9,4,6,6,7,5,5,7,9,10,10,7,5,5,5,10,10,10,10,55,0.50%,9/19/2011,2660 days 00:00:00.000000000
1431,ST LOUIS PARK DIALYSIS OF DAVITA,242554,SAINT LOUIS PARK,Minnesota,MN,55426,44.96,-93.26,5,5,3,5,4,5,9,8,7,8,10,9,4,6,6,7,7,5,10,9,10,10,6,5,4,5,10,10,10,10,66,No Reduction,9/1/2002,5965 days 00:00:00.000000000
1432,SUN RAY DIALYSIS OF DAVITA,242574,SAINT PAUL,Minnesota,MN,55106,44.94,-93.1,10,5,3,5,7,5,7,8,10,8,10,9,5,6,7,7,6,5,10,9,10,10,9,5,10,5,10,10,10,10,78,No Reduction,7/31/2008,3805 days 00:00:00.000000000
1433,FRESENIUS MEDICAL CARE - SPIRIT VALLEY,242555,DULUTH,Minnesota,MN,55807,46.78,-92.11,1,5,6,5,3,5,8,8,7,8,10,9,10,6,10,7,9,5,8,9,10,10,6,5,6,5,10,10,10,10,75,No Reduction,7/1/2003,5662 days 00:00:00.000000000
1434,ISD RENAL INC,252501,JACKSON,Mississippi,MS,39206,32.32,-90.2,8,5,1,5,5,5,7,8,1,8,10,9,4,6,6,7,3,5,5,9,10,10,4,5,3,5,10,10,10,10,49,1.00%,9/1/1976,15461 days 00:00:00.000000000
1435,HATTIESBURG CLINIC DIALYSIS,252502,HATTIESBURG,Mississippi,MS,39402,31.31,-89.3,7,5,6,5,7,5,8,8,9,8,10,9,3,6,6,7,4,5,10,9,10,10,0,5,0,5,10,10,10,10,54,0.50%,9/1/1976,15461 days 00:00:00.000000000
1436,HATTIESBURG CLINIC PA,252587,HATTIESBURG,Mississippi,MS,39402,31.31,-89.3,10,5,9,5,10,5,9,8,10,8,10,9,10,6,10,7,0,5,8,9,10,10,4,5,1,5,10,10,10,10,63,No Reduction,10/26/2016,796 days 00:00:00.000000000
1437,RCG BROOKHAVEN,252506,BROOKHAVEN,Mississippi,MS,39601,31.58,-90.44,9,5,9,5,9,5,6,8,10,8,10,9,0,6,4,7,8,5,10,9,10,10,4,5,1,5,10,10,10,10,65,No Reduction,11/13/1978,14658 days 00:00:00.000000000
1438,RCG PHILADELPHIA,252520,PHILADELPHIA,Mississippi,MS,39350,32.77,-89.1,5,5,5,5,5,5,10,8,9,8,10,9,6,6,8,7,6,5,10,9,10,10,7,5,7,5,10,10,10,10,75,No Reduction,6/8/1983,12990 days 00:00:00.000000000
1439,FMC YAZOO CITY,252536,YAZOO CITY,Mississippi,MS,39194,32.86,-90.4,9,5,4,5,7,5,9,8,10,8,10,9,8,6,9,7,3,5,10,9,10,10,4,5,7,5,10,10,10,10,69,No Reduction,10/19/1992,9569 days 00:00:00.000000000
1440,RCG SOUTHAVEN,252552,SOUTHAVEN,Mississippi,MS,38671,34.97,-89.99,0,5,2,5,1,5,8,8,9,8,10,9,6,6,8,7,2,5,10,9,10,10,2,5,7,5,10,10,10,10,53,0.50%,12/17/1997,7684 days 00:00:00.000000000
1441,RCG HOLLY SPRINGS,252545,HOLLY SPRINGS,Mississippi,MS,38635,34.77,-89.44,4,5,9,5,6,5,10,8,9,8,10,9,7,6,8,7,1,5,10,9,10,10,5,5,6,5,10,10,10,10,64,No Reduction,6/8/1994,8972 days 00:00:00.000000000
1442,LAUREL DIALYSIS,252510,LAUREL,Mississippi,MS,39440,31.69,-89.14,5,5,4,5,5,5,10,8,10,8,10,9,3,6,6,7,8,5,10,9,10,10,3,5,1,5,10,10,10,10,66,No Reduction,4/13/1981,13776 days 00:00:00.000000000
1443,FMC GULFPORT S. MS KIDNEY CTR,252540,GULFPORT,Mississippi,MS,39501,30.38,-89.06,10,5,6,5,8,5,10,8,10,8,10,9,8,6,9,7,7,5,10,9,10,10,6,5,4,5,10,10,10,10,80,No Reduction,10/26/1993,9197 days 00:00:00.000000000
